g_ewaran,p_ewaran,g_parallel,p_parallel,g_zankoline,p_zankoline,department,collage-institute,university
,,77,67.3,81.6,73.506,ئینگلیزی,کۆلێژی پەروەردە,زانکۆی گەرمیان
,,62.6,57.2,65.4,65.4,عەرەبی,کۆلێژی پەروەردەی بنەڕەت,زانکۆی گەرمیان
,,60.9,60.9,65,65,ز.کۆمەڵیەتیەکان,کۆلێژی پەروەردەی بنەڕەت,زانکۆی گەرمیان
,,58.586,58.586,63.3,63.3,کوردی,کۆلێژی پەروەردەی بنەڕەت,زانکۆی گەرمیان
,,63,58.8,67.2,61.4,باخچە,کۆلێژی پەروەردەی بنەڕەت,زانکۆی گەرمیان
,,60,60,65,65,جوگرافیا,ز.زانستە مرۆڤایەتیەکان - خانەقین,زانکۆی گەرمیان
59.428,54.14,60.309,60.309,65,65,دەرونناس,ز.زانستە مرۆڤایەتیەکان - خانەقین,زانکۆی گەرمیان
,,60.017,60.17,65.803,65.803,کوردی,ز.زانستە مرۆڤایەتیەکان - خانەقین,زانکۆی گەرمیان
60,60,61.64,60.037,64.731,64.731,عەرەبی,ز.زانستە مرۆڤایەتیەکان - خانەقین,زانکۆی گەرمیان
61.3,58.1,64.734,58,70.473,62,ئینگلیزی,ز.زانستە مرۆڤایەتیەکان - خانەقین,زانکۆی گەرمیان
,,83.036,59.316,68.9,68.9,NETWORK,ک.کۆمپیوتەر و تەکنەلۆژیای زانیاری,زانکۆی گەرمیان
,,78.373,57.7,66.378,62.344,IT,ک.کۆمپیوتەر و تەکنەلۆژیای زانیاری,زانکۆی گەرمیان
,,55.9,55.798,59.9,59.9,سامانی ئاژەڵ,کشتوکاڵیەکان ز.ئەندازیاریە,زانکۆی گەرمیان
,,81.374,74.8,86.374,79.5,یاسا,کۆلێژی یاسا,زانکۆی گەرمیان
,,87.6,77.667,91.2,84.01,زانستی تاقیگەی پزیشکی,زانستە پزیشکی و کردەییەکان,زانکۆی چەرمۆ
,,81.167,65.102,77.5,71.35,کیمیای دەرمانسازی,زانستە پزیشکی و کردەییەکان,زانکۆی چەرمۆ
,,59.5,59.5,64.367,63.8,کۆمپیوتەری کرداری,زانستە پزیشکی و کردەییەکان,زانکۆی چەرمۆ
,,73.1,60.272,74.127,62.586,ف تیا ن پزیشکی,زانستە پزیشکی و کردەییەکان,زانکۆی چەرمۆ
,,70.96,61.303,80.3,62.517,نانۆ کیمیای کرداری,زانستە پزیشکی و کردەییەکان,زانکۆی چەرمۆ
64.1,57.9,69.434,63.7,75.7,69.7,زمانی ئینگلیزی,کۆلێژی زمانەوانی کارەکی,زانکۆی چەرمۆ
75.9,57.485,61.2,61.2,66.2,66.2,زمانی عەرەبی بۆ قسەکەرانی بیانی,کۆلێژی زمانەوانی کارەکی,زانکۆی چەرمۆ
,,60.1,60.1,69.455,69.455,ژمێریاری,کۆلێژی کار,زانکۆی چەرمۆ
,,68.7,58.4,64.6,64.6,کارگێری کار و نەوت و ووزە,کۆلێژی کار,زانکۆی چەرمۆ
63.2,55.7,59.3,58.899,63.5,63.5,کارگێری کار,کۆلێژی کار,زانکۆی چەرمۆ
,,96.333,96,95.429,95,تەکنیکی بێهۆشکاری,ک.ت. تەندرووستی و پزیشکی سلێمانی,ز.پۆڵۆتەکنیکی سلێمانی
,,97,94.667,95.2,94,شیکاری نەخۆشیەکان,ک.ت. تەندرووستی و پزیشکی سلێمانی,ز.پۆڵۆتەکنیکی سلێمانی
,,93.9,92,94,93,پەرستاری,ک.ت. تەندرووستی و پزیشکی سلێمانی,ز.پۆڵۆتەکنیکی سلێمانی
