g_ewaran,g_parallel,g_zankoline,p_ewaran,p_parallel,p_zankoline,department,collage-institute,university
,,66.2,,,61.8,تەکنیکی وەرگێران,پەیمانگای تەکنیکی مێرگەسۆر,پۆلیتەکنیکی هەولێر
,,62,,,60.5,کارگێری کار,پەیمانگای تەکنیکی مێرگەسۆر,پۆلیتەکنیکی هەولێر
80.429,83.429,86.571,74,77.125,80.857,پەرستاری,پەیمانگای تەکنیکی کۆیە,پۆلیتەکنیکی هەولێر
80.857,80.571,82,73.143,75.143,77.429,پەرستاری/تەق تەق,پەیمانگای تەکنیکی کۆیە,پۆلیتەکنیکی هەولێر
79.429,85.143,82.376,71.784,74.614,77.429,شیکاری نەخۆشی,پەیمانگای تەکنیکی کۆیە,پۆلیتەکنیکی هەولێر
78.857,79.714,78,70.857,73.492,75.714,شیکاری نەخۆشی/تەق تەق,پەیمانگای تەکنیکی کۆیە,پۆلیتەکنیکی هەولێر
62.7,63.3,69,57.8,59.784,61.7,کارگێری کار,پەیمانگای تەکنیکی کۆیە,پۆلیتەکنیکی هەولێر
59.949,63.057,68.8,57,58.67,58,کارگێری کار/تەق تەق,پەیمانگای تەکنیکی کۆیە,پۆلیتەکنیکی هەولێر
77.714,79.281,76.518,68.571,70.571,71.429,تەندروستی کۆمەڵ,پەیمانگای تەکنیکی کۆیە,پۆلیتەکنیکی هەولێر
,76.857,76.571,,68.857,69.827,ئافرەتان و لەدایک بوون,پەیمانگای تەکنیکی کۆیە,پۆلیتەکنیکی هەولێر
67.7,71.9,74.352,59.614,62.718,65.228,تەکنەلۆجیای زانیاری IT,پەیمانگای تەکنیکی کۆیە,پۆلیتەکنیکی هەولێر
64.6,65.8,73.7,58,60.012,62.9,تەکنەلۆجیای نەوت/شیکاری کیمیایی,پەیمانگای تەکنیکی کۆیە,پۆلیتەکنیکی هەولێر
62,68,70.4,57.155,60.013,61.026,تەکنەلۆجیای نەوت/کارپێکردن,پەیمانگای تەکنیکی کۆیە,پۆلیتەکنیکی هەولێر
57.2,59,62.2,55.2,56.4,57.269,کارگێری دەزگاکانی گەشتیاری,پەیمانگای تەکنیکی کۆیە,پۆلیتەکنیکی هەولێر
,57.3,63.4,,57.086,63.4,بەرهەمی رووەک,پەیمانگای تەکنیکی خەبات,پۆلیتەکنیکی هەولێر
,62,71.447,,58.882,61.1,تەکنەلۆجیای زانیاری IT,پەیمانگای تەکنیکی خەبات,  پۆلیتەکنیکی هەولێر
,56.797,60,,54.698,60,پاراستنی رووەک,پەیمانگای تەکنیکی خەبات,پۆلیتەکنیکی هەولێر
,61,68,,58.6,59.93,کارگێری یاسا,پەیمانگای تەکنیکی خەبات,پۆلیتەکنیکی هەولێر
,59.407,65.404,,56.422,59.287,ئاسایشی خۆراک و تەندروستی گشتی,پەیمانگای تەکنیکی خەبات,پۆلیتەکنیکی هەولێر
,98.4,99,,98.4,98.667,پزیشکی گشتی,سکوولی پزیشکی,کۆیە
,96.2,96.733,,95.2,95.88,تەلارسازی,فاکەلتی ئەندازیاری,کۆیە
,96,97.133,,94.067,95.453,پرۆگرام سازی,فاکەلتی ئەندازیاری,کۆیە
,92.6,94.8,,90.467,93.2,شارستانی,فاکەلتی ئەندازیاری,کۆیە
,93.204,95.173,,86.584,90.38,نەوت,فاکەلتی ئەندازیاری,کۆیە
,90.32,94,,83.44,88.36,کیمیاوی,فاکەلتی ئەندازیاری,کۆیە
,81.909,81,,79.4,78.4,جیۆتەکنیک,فاکەلتی ئەندازیاری,کۆیە
,79.8,78.6,,79.8,77.4,دروست کردن,فاکەلتی ئەندازیاری,کۆیە
,96.4,97.429,,94.667,96.338,میدیکەل مایکرۆبایۆلۆجی,فاکەلتی زانست و تەندروستی,کۆیە
,90.74,93.733,,86.2,89.1,بایۆلۆجی,فاکەلتی زانست و تەندروستی,کۆیە
,86.2,90.5,,82,86.2,کیمیا,فاکەلتی زانست و تەندروستی,کۆیە
,81.143,87.6,,77.667,80.333,کلینیکەل سایکۆلۆجی,فاکەلتی زانست و تەندروستی,کۆیە
,76.827,78.8,,65.2,70.003,فیزیک,فاکەلتی زانست و تەندروستی,کۆیە
,64.5,73.7,,58.4,62.496,ماتماتیکی پیشەسازی,فاکەلتی زانست و تەندروستی,کۆیە
,83.6,88,,77.2,81.4,قانون,فاکەلتی زانستە مرۆڤایەتی کۆمەالیەتی,کۆیە
68.3,77,83.4,61.4,71.1,77.1,ئینگلیزی,فاکەلتی زانستە مرۆڤایەتی کۆمەالیەتی,کۆیە
63.45,67.3,82,57.234,62,68,کارگێری,فاکەلتی زانستە مرۆڤایەتی کۆمەالیەتی,کۆیە
,63.2,70.9,,58.335,62.2,ژمێریاری,فاکەلتی زانستە مرۆڤایەتی کۆمەالیەتی,کۆیە
71.1,78.2,85.9,64.8,74,78.3,زمانی ئینگلیزی,فاکەلتی پەروەردە,کۆیە
62.6,73.482,78.2,61.3,62.3,67,زمانی عەرەبی,فاکەلتی پەروەردە,کۆیە
60.43,68.8,77.1,55.082,59.7,65.4,مێژوو,فاکەلتی پەروەردە,کۆیە
61.6,69.9,75.4,57.5,60.9,63.8,زمانی کوردی,فاکەلتی پەروەردە,کۆیە
61.078,65.9,73.8,56.77,60.7,61.869,جوگرافیا,فاکەلتی پەروەردە,کۆیە
60.6,62.6,70.8,56.529,59.525,61.6,پەروەردە و دەروونزانی,فاکەلتی پەروەردە,کۆیە
,55,60,,55,60,پەروەردەی ئاینی,فاکەلتی پەروەردە,کۆیە
55,55,60,55,55,60,وەرزش,سکولی پەروەردەی وەرزش,کۆیە
,92.267,94.6,,89.467,92.7,ئەندازیاری شارستانی,فاکەلتی ئەندازیاری,سۆران
,89.32,94.8,,87.247,89.4,ئەندازیاری نەوت,فاکەلتی ئەندازیاری,سۆران
,87.913,92.493,,83.04,86.887,ئەندازیاری کیمیا,فاکەلتی ئەندازیاری,سۆران
,87.7,92.9,,83.6,89.4,بایۆلۆجی,فاکەلتی زانست,سۆران
,87.733,89.033,,80.213,85.923,کیمیا,فاکەلتی زانست,سۆران
,82.167,86.52,,78.567,83.2,کۆمپیوتەر,فاکەلتی زانست,سۆران
,73.9,81.908,,66.003,71.7,جیۆلۆجی نەوت,فاکەلتی زانست,سۆران
,63.5,74.288,,59,62.798,ماتماتیک,فاکەلتی زانست,سۆران
70.5,83,92.758,62.354,76.9,82.1,زمانی ئینگلیزی,فاکەلتی ئاداب,سۆران
,71.9,79.2,,68.5,73.4,زمانی عەرەبی,فاکەلتی ئاداب,سۆران
,67.8,77.3,,65.5,71,مێژوو,فاکەلتی ئاداب,سۆران
62.9,71.8,77.6,59.2,63.973,70.4,جوگرافیا,فاکەلتی ئاداب,سۆران
,64.903,71.8,,62,67.213,زمانی کوردی,فاکەلتی ئاداب,سۆران
61,65.2,68.2,58,58.8,63.4,دەرونناسی,فاکەلتی ئاداب,سۆران
58.911,60.753,65.344,56.6,57.4,62.3,کۆمەلناسی,فاکەلتی ئاداب,سۆران
66,74.6,82.634,61.7,70.9,77.3,زمانی ئینگلیزی,فاکەلتی پەروەردە/سکولی بنەرەت,سۆران
,70.36,77.24,,65.577,71.939,زانستە گشتیەکان,فاکەلتی پەروەردە/سکولی بنەرەت,سۆران
64.4,68.5,80.4,58.6,64.7,71,زانستە کۆمەڵایەتیەکان,فاکەلتی پەروەردە/سکولی بنەرەت,سۆران
62,67.875,76,58.4,63.412,69.816,زمانی کوردی,فاکەلتی پەروەردە/سکولی بنەرەت,سۆران
,63.217,69.1,,59.324,64.403,ماتماتیک,فاکەلتی پەروەردە/سکولی بنەرەت,سۆران
,55,60,,55,60,وەرزش,فاکەلتی پەروەردە/سکولی وەرزش,سۆران
,64.8,74.2,,61.6,66.8,بەرێوەبردنی کار,سکولی بەرێوەبردن,سۆران
,63.3,69.9,,57.8,62.4,ژمێریاری,سکولی بەرێوەبردن,سۆران
,84.002,89.3,,77.1,81.4,یاسا,سکولی یاسا و زانستە سیاسیەکان,سۆران
,75.8,75.7,,62.4,68.7,پەیوەندیە نێودەوڵەتیەکان,سکولی یاسا و زانستە سیاسیەکان,سۆران
,99,99.714,,98.667,99.143,پزیشکی,پزیشکی,سلێمانی
,98.071,98.667,,98,98.333,پزیشکی ددان,پزیشکی,سلێمانی
,97.714,98.333,,97.667,98,دەرمانسازی,پزیشکی,سلێمانی
,97,97.333,,95.143,96.571,پەرستاری,پزیشکی,سلێمانی
,97.333,97.44,,96.4,96.8,تەلارسازی,ئەندازیاری,سلێمانی
,95.16,96.467,,94.167,95.52,شارستانی,ئەندازیاری,سلێمانی
,93.6,94,,88.4,90.2,کارەبا,ئەندازیاری,سلێمانی
,93.38,95.533,,92,94.367,بایۆلۆجی,زانست,سلێمانی
,90.8,93.867,,88.867,91,کیمیا,زانست,سلێمانی
,86.86,89.9,,84,86.98,کۆمپیوتەر,زانست,سلێمانی
,73.961,83.224,,64.2,70.6,فیزیک,زانست,سلێمانی
,67.3,75.9,,59,65.124,جیۆلۆجی,زانست,سلێمانی
,65.248,70.6,,59.764,62.6,ماتماتیک,زانست,سلێمانی
,91.4,96.1,,86.7,91.6,یاسا,یاسا,سلێمانی
,85.2,90.7,,82.9,86.2,زمانی ئینگلیزی,زمان,سلێمانی
,82,86,,80.4,82.2,وەرگێران,زمان,سلێمانی
64.5,70.4,76,58.682,64.5,70.6,زمانی عەرەبی,زمان,سلێمانی
61,70.484,74.9,57.3,62.82,66.2,زمانی کوردی,زمان,سلێمانی
57.5,58.9,62.1,57.5,57.7,62.1,زمانی فارسی,زمان,سلێمانی
66,78.2,84.2,58.7,74.6,80.3,ئابوری,کارگێری و ئابووری,سلێمانی
69.746,75.6,82.4,64.4,71.6,77.9,کارگێری کار,کارگێری و ئابووری,سلێمانی
,71.581,78,,66.7,73,ژمێریاری,کارگێری و ئابووری,سلێمانی
62.8,70.3,76.6,58.388,65.1,71.5,کارگێری بە بازار کردن,کارگێری و ئابووری,سلێمانی
,63.8,68.7,,60.5,62.1,ئامار و زانیاری,کارگێری و ئابووری,سلێمانی
77.9,81.4,87.3,72.5,79.63,82.3,زمانی ئینگلیزی,پەروەردەی بنەرەتی,سلێمانی
,74.9,79.7,,71.322,76.4,زانستی کۆمپیوتەر,پەروەردەی بنەرەتی,سلێمانی
66.412,73.8,79.8,61.7,68.7,75.1,زمانی کوردی,پەروەردەی بنەرەتی,سلێمانی
64.376,72.4,79.2,59.1,67.611,74,زانستی کۆمەڵایەتیەکان,پەروەردەی بنەرەتی,سلێمانی
,70.3,76.1,,66.5,72.2,زانستە بیرکاریەکان,پەروەردەی بنەرەتی,سلێمانی
63.8,71,78.2,58.6,65.6,71.6,باخچەی منداڵان,پەروەردەی بنەرەتی,سلێمانی
63,73.2,75.4,57.8,65.8,70,پەروەردەی تایبەت,پەروەردەی بنەرەتی,سلێمانی
55,55,60,55,55,60,پەروەردەی هونەری,پەروەردەی بنەرەتی,سلێمانی
,79.9,85.495,,78.2,80.3,تەکنەلۆجیای زانیاری,بازرگانی,سلێمانی
,74.3,81.5,,64.8,71.1,بازرگانی نێودەولەتی,بازرگانی,سلێمانی
,72.5,73.1,,62.3,68.7,ژمێریاری دارایی و وردبین,بازرگانی,سلێمانی
,66.8,72.6,,61.7,67,زانستی دارایی و بانک,بازرگانی,سلێمانی
63.5,65.6,71.4,59.686,63.3,65.9,گەشت و گوزار,بازرگانی,سلێمانی
,63.6,69.8,,61.6,64,کارگێری پرۆژەکان,بازرگانی,سلێمانی
