g_ewaran,g_parallel,g_zankoline,p_ewaran,p_parallel,p_zankoline,department,collage-institute,university
,71.8,78.8,,74.6,74.6,مێژوو ,پەروەردە - ئاکرێ,دهۆک
,72.748,80.4,,74.1,74.1,زمانی عەرەبی ,پەروەردە - ئاکرێ,دهۆک
,69.749,77,,71.9,71.9,زمانی کوردی ,پەروەردە - ئاکرێ,دهۆک
,67.784,74,,69.7,69.7,ماتماتیک ,پەروەردە - ئاکرێ,دهۆک
,55,60,,60,60,پەروەردەی ئایینی ,پەروەردە - ئاکرێ,دهۆک
,55,60,,60,60,پەروەدەی جەستەیی و وەرزشیەکان,پەروەدەی جەستەیی و وەرزشیەکان,دهۆک
,95.528,95.333,,90.286,93.143,پەرستاری ,تەکنیکی تەندروستی و پزیشکی شێخان ,پۆڵیتەکنیکی دهۆک
,95,93,,85.143,89.667,تەندروستی گشتی  ,تەکنیکی تەندروستی و پزیشکی شێخان ,پۆڵیتەکنیکی دهۆک
,87.96,91.88,,84.74,89.645,ئەندازیاری  کیمیاوی,ﺗﻪﮐﻨﻴﮑﯽ ئەندازیاری  دهۆک,پۆڵیتەکنیکی دهۆک
,87.72,90.8,,83.717,88.698,ڕێگا و بان,ﺗﻪﮐﻨﻴﮑﯽ ئەندازیاری  دهۆک,پۆڵیتەکنیکی دهۆک
,83.4,88.3,,80.928,85.173,ووزە,ﺗﻪﮐﻨﻴﮑﯽ ئەندازیاری  دهۆک,پۆڵیتەکنیکی دهۆک
,80.6,86.1,,75.8,82.2,جیۆلۆجی پترۆل,ﺗﻪﮐﻨﻴﮑﯽ پترۆل و کانزاکانی زاخۆ,پۆڵیتەکنیکی دهۆک
64.5,68.3,73.4,61.073,64.4,69.2,کارگێری کار ,ﺗﻪﮐﻨﻴﮑﯽ ﺋﺎﮐﺮێ ,پۆڵیتەکنیکی دهۆک
,61.1,64.9,,59.4,61.029,رەزگەری,ﺗﻪﮐﻨﻴﮑﯽ ﺋﺎﮐﺮێ ,پۆڵیتەکنیکی دهۆک
,75.6,82.1,,66.2,71.4,تەکنەلۆجیای زانیاری ,ﺗﻪﮐﻨﻴﮑﯽ ئینفۆرماتیک ﺋﺎﮐﺮێ ,پۆڵیتەکنیکی دهۆک
,71.333,76.367,,62.9,67.067,تۆڕی کۆمپیوتەری پاراستنی زانیاری ,ﺗﻪﮐﻨﻴﮑﯽ ئینفۆرماتیک ﺋﺎﮐﺮێ ,پۆڵیتەکنیکی دهۆک
65.6,66.5,71.3,62,64.996,69.646,ﺗﻪﮐﻨﻴﮑﯽ کارگێری کار ,ﺗﻪﮐﻨﻴﮑﯽ کارگێری دهۆک,پۆڵیتەکنیکی دهۆک
,67.503,72.5,,63.281,67.7,تەکنەلۆجیای زانیاری کارگێری ,ﺗﻪﮐﻨﻴﮑﯽ کارگێری دهۆک,پۆڵیتەکنیکی دهۆک
,64.411,68.1,,61.797,64.4,تەکنەلۆجیای ژمێریاری ,ﺗﻪﮐﻨﻴﮑﯽ کارگێری دهۆک,پۆڵیتەکنیکی دهۆک
90.286,90,93.239,82,84.907,88.056,دەرمانسازی ,پەیمانگای ﺗﻪﮐﻨﻴﮑﯽ دهۆک,پۆڵیتەکنیکی دهۆک
81.429,81.478,88.041,75.218,78.913,84,پەرستاری - نەخوشەڤانی,پەیمانگای ﺗﻪﮐﻨﻴﮑﯽ دهۆک,پۆڵیتەکنیکی دهۆک
68.213,71.9,77.5,61.3,63.578,66.8,ڕووپێوی ,پەیمانگای ﺗﻪﮐﻨﻴﮑﯽ دهۆک,پۆڵیتەکنیکی دهۆک
63.1,64.4,72.441,59.5,61.6,65.2,تەکنەلۆجیای بیناکاری ,پەیمانگای ﺗﻪﮐﻨﻴﮑﯽ دهۆک,پۆڵیتەکنیکی دهۆک
61.046,63.1,72.629,59.515,61.4,64.736,پیشەسازی تەکنەلۆجیا,پەیمانگای ﺗﻪﮐﻨﻴﮑﯽ دهۆک,پۆڵیتەکنیکی دهۆک
,65.8,72.9,,63.9,67.9,کارگێری کار ,پەیمانگای ﺗﻪﮐﻨﻴﮑﯽ کارگێری دهۆک,پۆڵیتەکنیکی دهۆک
,61.957,70.6,,60.251,62.7,ژمێریاری ,پەیمانگای ﺗﻪﮐﻨﻴﮑﯽ کارگێری دهۆک,پۆڵیتەکنیکی دهۆک
,61,68.7,,59.6,61.818,ﺳﻴﺴﺘﻪﻣﯽ زانیاری کارگێری ,پەیمانگای ﺗﻪﮐﻨﻴﮑﯽ کارگێری دهۆک,پۆڵیتەکنیکی دهۆک
77.143,78.857,89.143,73.35,77.143,80.571,پەرستاری - نەخوشەڤانی,پەیمانگای ﺗﻪﮐﻨﻴﮑﯽ ﺋﺎﮐﺮێ ,پۆڵیتەکنیکی دهۆک
63.241,66.3,77.2,60.6,63.6,67.964,کارگێری ﻳﺎﺳﺎ ,پەیمانگای ﺗﻪﮐﻨﻴﮑﯽ ﺋﺎﮐﺮێ ,پۆڵیتەکنیکی دهۆک
60.595,63.4,70.9,58.433,60.888,63.3,ڕووپێوی ,پەیمانگای ﺗﻪﮐﻨﻴﮑﯽ ﺋﺎﮐﺮێ ,پۆڵیتەکنیکی دهۆک
61,68.287,70.4,58.335,60.3,62.951,تەکنەلۆجیای زانیاری IT ,پەیمانگای ﺗﻪﮐﻨﻴﮑﯽ ﺋﺎﮐﺮێ ,پۆڵیتەکنیکی دهۆک
,75.4,84.688,,73.8,77.91,تەکنەلۆجیای تاقیگەی نوژداری,پەیمانگای تەکنیکی ئامێدی,پۆڵیتەکنیکی دهۆک
60.2,63.3,70.601,59.2,61.6,66.5,کارگێری کار ,پەیمانگای تەکنیکی ئامێدی ,پۆڵیتەکنیکی دهۆک
,61.352,68.7,,60.518,65.6,کارگێری ﺑﺎﺯﺍﺭﮔﻪﺭ ﯼ ,پەیمانگای تەکنیکی ئامێدی,پۆڵیتەکنیکی دهۆک
59,61.345,68.1,57.765,59.6,64.467,کارگێری ﮔﻪﺷﺘﻴﺎﺭﯼ ,پەیمانگای تەکنیکی ئامێدی ,پۆڵیتەکنیکی دهۆک
58.935,61.704,66.4,57.785,59.939,61.94,تەکنەلۆجیای زانیاری IT ,پەیمانگای تەکنیکی ئامێدی ,پۆڵیتەکنیکی دهۆک
,77.429,87.143,,75.429,79.429,پەرستاری - نەخوشەڤانی,پەیمانگای تەکنیکی بەردەرەش ,پۆڵیتەکنیکی دهۆک
61,63.3,77.9,59.1,61.451,66,کارگێری کار ,پەیمانگای تەکنیکی بەردەرەش ,پۆڵیتەکنیکی دهۆک
,61.5,75.901,,59.3,62.5,تۆڕەکانی ﮐﯚﻣﭙﻴﻮﺗﻪﺭ ,پەیمانگای تەکنیکی بەردەرەش ,پۆڵیتەکنیکی دهۆک
58.244,61.081,71.6,57.046,59.5,62.2,تەکنەلۆجیای زانیاری IT ,پەیمانگای تەکنیکی بەردەرەش ,پۆڵیتەکنیکی دهۆک
,59.441,65.7,,58.183,60.9,ژمێریاری ,پەیمانگای تەکنیکی بەردەرەش ,پۆڵیتەکنیکی دهۆک
76.857,80.548,89,73.329,77.773,82.096,پەرستاری - نەخوشەڤانی,پەیمانگای تەکنیکی زاخۆ,پۆڵیتەکنیکی دهۆک
80.1,78.4,87.143,72.1,75.945,80.6,تەکنەلۆجیای تاقیگەی نوژداری,پەیمانگای تەکنیکی زاخۆ,پۆڵیتەکنیکی دهۆک
66.8,70.5,80.3,62.867,67.3,72.2,پترۆل,پەیمانگای تەکنیکی زاخۆ,پۆڵیتەکنیکی دهۆک
62.8,65.5,75.666,60.8,63.39,67.5,کارگێری کار ,پەیمانگای تەکنیکی زاخۆ,پۆڵیتەکنیکی دهۆک
61.944,64.7,72.779,60.1,61.6,65.7,تەکنەلۆجیای زانیاری IT ,پەیمانگای تەکنیکی زاخۆ,پۆڵیتەکنیکی دهۆک
60.496,66.5,66.681,57.6,59,61.6,ﭼﺎﻧﺪﻧﯽ ﭘﺎﺭﺍﺳﺘﯽ ,پەیمانگای تەکنیکی زاخۆ,پۆڵیتەکنیکی دهۆک
72.75,74.334,82.8,68.8,70.7,72.529,کارگێری تەندروستی ,پەیمانگای تەکنیکی شەنگال  ,پۆڵیتەکنیکی دهۆک
57.5,59.502,66.023,56.367,58.394,60.7,ژمێریاری ,پەیمانگای تەکنیکی شەنگال  ,پۆڵیتەکنیکی دهۆک
60.93,63.7,69.9,59.5,62.6,66.1,کارگێری کار ,پەیمانگای تەکنیکی شێخان,پۆڵیتەکنیکی دهۆک
59.404,60.79,68.7,57.2,59.006,61.966,تەکنەلۆجیای زانیاری IT ,پەیمانگای تەکنیکی شێخان,پۆڵیتەکنیکی دهۆک
